Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_14,J_15,J_16,J_17,J_18,Avg_last_5_games,Value
4,RCD Espanyol de Barcelona,Diego López,PT,18,100,19,0,105,5.8,"['7', '11', '2', '1', '0']",7,11,2,1,0,4.2,4260000
4,RCD Espanyol de Barcelona,Oier Olazábal,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,17,94,1,2,78,4.6,"['9', '4', '2', '5', '5']",9,4,2,5,5,5.0,3840000
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,18,100,1,0,76,4.2,"['1', '5', '2', '2', '1']",1,5,2,2,1,2.2,4300000
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,17,94,1,1,75,4.4,"['2', '4', '8', '2', '4']",2,4,8,2,4,4.0,3170000
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,14,67,2,0,50,3.6,"['4', '1', '1', '1', '4']",4,1,1,1,4,2.2,2590000
4,RCD Espanyol de Barcelona,Óscar Gil,DF,9,50,0,0,22,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,670000
4,RCD Espanyol de Barcelona,Dídac Vilà,DF,4,6,0,0,10,2.5,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,400000
4,RCD Espanyol de Barcelona,Calero,DF,2,6,0,0,6,3,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,450000
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,1,0,0,0,4,4,"['-', '2', '-', '-', '2']",0,2,0,0,2,0.8,220000
4,RCD Espanyol de Barcelona,Miguelón,DF,2,6,0,0,4,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,310000
4,RCD Espanyol de Barcelona,Rubén Sánchez Sáez,DF,2,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,170000
4,RCD Espanyol de Barcelona,Sergi Darder,MD,17,94,1,2,75,4.4,"['2', '4', '2', '11', '2']",2,4,2,11,2,4.2,3910000
4,RCD Espanyol de Barcelona,Embarba,MD,17,94,0,2,68,4,"['2', '1', '3', '3', '-']",2,1,3,3,0,1.8,6760000
4,RCD Espanyol de Barcelona,Morlanes,MD,16,33,1,0,58,3.6,"['7', '2', '3', '2', '2']",7,2,3,2,2,3.2,1850000
4,RCD Espanyol de Barcelona,Keidi Bare,MD,12,33,0,1,36,3,"['-', '5', '4', '2', '-']",0,5,4,2,0,2.2,1110000
4,RCD Espanyol de Barcelona,Melendo,MD,10,44,0,0,34,3.4,"['1', '12', '2', '7', '2']",1,12,2,7,2,4.8,880000
4,RCD Espanyol de Barcelona,Yangel Herrera,MD,9,33,1,1,34,3.8,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2,3170000
4,RCD Espanyol de Barcelona,David López,MD,10,33,0,0,33,3.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,1220000
4,RCD Espanyol de Barcelona,Vadillo,MD,3,0,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
4,RCD Espanyol de Barcelona,Fran Mérida,MD,4,11,0,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
4,RCD Espanyol de Barcelona,Gori,MD,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
4,RCD Espanyol de Barcelona,Raúl de Tomás,DL,17,94,8,2,113,6.6,"['6', '5', '5', '12', '2']",6,5,5,12,2,6.0,18470000
4,RCD Espanyol de Barcelona,Wu Lei,DL,12,17,0,0,25,2.1,"['4', '2', '-', '-', '-']",4,2,0,0,0,1.2,810000
4,RCD Espanyol de Barcelona,Dimata,DL,12,17,0,0,24,2,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,1430000
