Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,12,86,9,0,60,5,"['4', '4', '6', '8', '0']",4,4,6,8,0,4.4,4300000
1,Athletic Club,Agirrezabala,PT,2,14,1,0,10,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,500000
1,Athletic Club,Ezkieta,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
1,Athletic Club,Iñigo Martínez,DF,12,86,2,0,64,5.3,"['-', '-2', '-', '7', '-3']",0,-2,0,7,-3,0.4,6830000
1,Athletic Club,Lekue,DF,14,93,0,2,60,4.3,"['8', '2', '5', '5', '3']",8,2,5,5,3,4.6,3160000
1,Athletic Club,Balenziaga,DF,11,79,0,0,40,3.6,"['-', '-', '2', '6', '0']",0,0,2,6,0,1.6,2010000
1,Athletic Club,Yeray Álvarez,DF,5,36,0,0,29,5.8,"['6', '6', '4', '8', '5']",6,6,4,8,5,5.8,3900000
1,Athletic Club,De Marcos,DF,5,29,0,0,20,4,"['5', '7', '-', '-', '-']",5,7,0,0,0,2.4,1230000
1,Athletic Club,Unai Núñez,DF,4,14,0,0,12,3,"['4', '2', '2', '-', '-']",4,2,2,0,0,1.6,700000
1,Athletic Club,Álex Petxarroman,DF,2,0,0,0,3,1.5,"['-', '1', '-', '-', '2']",0,1,0,0,2,0.6,400000
1,Athletic Club,Yuri Berchiche,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1570000
1,Athletic Club,Capa,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1040000
1,Athletic Club,Nolaskoain,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
1,Athletic Club,Muniain,MD,14,100,2,4,99,7.1,"['4', '14', '6', '4', '9']",4,14,6,4,9,7.4,9240000
1,Athletic Club,Unai Vencedor,MD,13,86,0,0,47,3.6,"['5', '4', '-', '5', '4']",5,4,0,5,4,3.6,2820000
1,Athletic Club,Álex Berenguer,MD,13,79,0,1,34,2.6,"['3', '1', '-1', '2', '-']",3,1,-1,2,0,1.0,5520000
1,Athletic Club,Nico Williams,MD,14,21,0,0,33,2.4,"['4', '3', '1', '5', '2']",4,3,1,5,2,3.0,2580000
1,Athletic Club,Dani García,MD,14,86,0,0,33,2.4,"['8', '2', '4', '2', '0']",8,2,4,2,0,3.2,1650000
1,Athletic Club,Sancet,MD,10,43,0,1,33,3.3,"['2', '1', '2', '2', '1']",2,1,2,2,1,1.6,2550000
1,Athletic Club,Zarraga,MD,10,7,0,0,24,2.4,"['-', '-', '-', '2', '3']",0,0,0,2,3,1.0,720000
1,Athletic Club,Mikel Vesga,MD,11,21,0,0,23,2.1,"['2', '-', '5', '-', '-']",2,0,5,0,0,1.4,760000
1,Athletic Club,Jon Morcillo,MD,5,0,0,0,8,1.6,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,570000
1,Athletic Club,Williams,DL,14,86,3,1,70,5,"['13', '4', '3', '2', '2']",13,4,3,2,2,4.8,9680000
1,Athletic Club,Raúl García,DL,13,64,3,0,60,4.6,"['3', '5', '4', '2', '11']",3,5,4,2,11,5.0,5380000
1,Athletic Club,Villalibre,DL,7,7,0,0,16,2.3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,1260000
