Player,Matchs,Goals,Assists
Luis Hernández,5,0,0
Jeremías Ledesma,5,0,0
Joseba Zaldúa,5,0,0
Alfonso Espino,5,0,0
Anthony Lozano,4,0,0
Víctor Chust,4,0,0
Lucas Pérez,5,0,0
Iván Alejo,5,0,0
Fali,3,0,0
Tomás Alarcón,4,0,0
Fede S,4,0,0
Santiago Arzamendia,3,0,0
Brian Ocampo,2,0,0
José Mari,3,0,0
Blanco,2,0,0
Awer Mabil,4,0,0
Álvaro Negredo,4,0,0
Álex Fernández,3,0,0
Rubén Sobrino,2,0,0
Mamadou Mbaye,1,0,0
Mamady Diarra,2,0,0
Alberto Perea,1,0,0
Theo Bongonda,2,0,0
Rubén Alcaraz,1,0,0
Álvaro Giménez,1,0,0
Cala,0,0,0
Isaac Carcelen,0,0,0
Karl Etta,0,0,0
David Gil,0,0,0
Kikín,0,0,0
Curro Muñoz,0,0,0
