Player,Matchs,Goals,Assists
Gonçalo Guedes,32,11,6
Hugo Guillamón,30,1,0
Omar Alderete,26,2,0
Carlos Soler,28,11,5
Dimitri Foulquier,25,0,1
Hugo Duro,29,7,1
José Lu,22,2,4
Daniel Wass,19,1,1
Mouctar Diakhaby,26,0,1
Maxi Gómez,25,3,1
Gabriel Paulista,17,2,1
Giorgi Mamardashvili,16,0,0
Jasper Cillessen,16,0,1
Thierry Correia,15,0,0
Hélder Costa,22,0,1
Yunus Musah,25,1,0
Uroš Račić,24,0,0
Bryan,10,0,1
Toni Lato,11,0,1
Maranhão,27,1,2
Jesus Vazquez,13,0,0
Denis Cheryshev,14,0,1
Ilaix Moriba,10,0,0
Eray Cömert,7,0,0
Cristiano Piccini,6,1,0
Cristhian Mosquera,6,0,0
Jaume Doménech,3,0,0
Koba Koindredi,10,0,0
Ruben Lendinez,4,0,0
Jason,5,0,0
Manu Vallejo,9,0,0
Jesús Santiago,1,0,0
Rubén Sobrino,1,0,0
Pedro Alemañ,0,0,0
Alejandro Blanco,0,0,0
Alessandro Burlamaqui,0,0,0
Cristian,0,0,0
Mario Dominguez,0,0,0
Hugo González,0,0,0
Javier Guerra,0,0,0
José Menargu,0,0,0
Diego Noguerol,0,0,0
Charlie Perez,0,0,0
Lassina Sangare,0,0,0
César Tárrega,0,0,0
