Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
11,RCD Mallorca,Reina,PT,68,3.8,890000,55,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Sergio Rico,PT,32,2.7,1780000,36,"['8', '7', '-3', '5', '1']",8,7,-3,5,1,3.6
11,RCD Mallorca,Leo Román,PT,8,4,220000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Greif,PT,0,0,250000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Maffeo,DF,127,4.2,3050000,91,"['4', '2', '2', '5', '0']",4,2,2,5,0,2.6
11,RCD Mallorca,Martin Valjent,DF,101,3.3,1670000,94,"['-', '4', '3', '4', '5']",0,4,3,4,5,3.2
11,RCD Mallorca,Brian Oliván,DF,77,3.3,1080000,61,"['1', '5', '1', '5', '2']",1,5,1,5,2,2.8
11,RCD Mallorca,Jaume Costa,DF,73,3.5,1220000,52,"['-', '6', '2', '-', '-']",0,6,2,0,0,1.6
11,RCD Mallorca,Franco Russo,DF,48,3,660000,48,"['-6', '-', '-', '-', '-']",-6,0,0,0,0,-1.2
11,RCD Mallorca,Raíllo,DF,46,3.8,1310000,36,"['-', '8', '4', '3', '5']",0,8,4,3,5,4.0
11,RCD Mallorca,Giovanni González,DF,31,3.9,760000,9,"['3', '-', '4', '3', '4']",3,0,4,3,4,2.8
11,RCD Mallorca,Sedlar,DF,16,1.6,370000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Josep Gayá,DF,-2,-2,250000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Dani Rodríguez,MD,126,4.1,3810000,94,"['1', '1', '2', '5', '4']",1,1,2,5,4,2.6
11,RCD Mallorca,Salva Sevilla,MD,110,4.8,3030000,39,"['4', '-', '2', '2', '1']",4,0,2,2,1,1.8
11,RCD Mallorca,Idrissu Baba,MD,107,4.3,2870000,67,"['4', '3', '2', '3', '4']",4,3,2,3,4,3.2
11,RCD Mallorca,Kubo,MD,99,4.1,3490000,48,"['2', '2', '7', '2', '4']",2,2,7,2,4,3.4
11,RCD Mallorca,Ruiz de Galarreta,MD,91,4.1,1580000,52,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Antonio Sánchez,MD,78,3.3,1020000,45,"['3', '2', '2', '2', '4']",3,2,2,2,4,2.6
11,RCD Mallorca,Kang-In Lee,MD,78,2.9,1420000,45,"['3', '3', '3', '4', '8']",3,3,3,4,8,4.2
11,RCD Mallorca,Rodrigo Battaglia,MD,45,2,620000,24,"['3', '4', '-', '2', '-']",3,4,0,2,0,1.8
11,RCD Mallorca,Amath Ndiaye,MD,44,2.3,530000,27,"['-', '-', '2', '-', '1']",0,0,2,0,1,0.6
11,RCD Mallorca,Javi Llabres,MD,12,3,270000,3,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8
11,RCD Mallorca,Grenier,MD,2,1,480000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Ángel Rodríguez,DL,80,3.3,1970000,45,"['2', '-', '1', '-', '-']",2,0,1,0,0,0.6
11,RCD Mallorca,Muriqi,DL,74,6.2,6760000,36,"['5', '10', '5', '9', '4']",5,10,5,9,4,6.6
11,RCD Mallorca,Fernando Niño,DL,70,3.2,1370000,24,"['5', '-', '-', '0', '-']",5,0,0,0,0,1.0
11,RCD Mallorca,Abdón Prats,DL,61,3.1,560000,15,"['-', '-', '-', '8', '-']",0,0,0,8,0,1.6
11,RCD Mallorca,Hoppe,DL,7,1.8,370000,3,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2
