Player,Matchs,Goals,Assists
Matías Dituro,30,0,0
Javi Galán,29,0,3
Iago Aspas,29,13,4
Brais Méndez,29,4,4
Denis Suárez,30,3,2
Santi Mina,29,7,3
Fran Beltrán,30,0,0
Joseph Aidoo,24,0,0
Néstor Araujo,26,0,0
Hugo Mallo,21,1,1
Franco Cervi,27,3,3
Nolito,27,2,0
Renato Tapia,24,0,0
Jeison Murillo,16,0,0
Kevin Vázquez,9,0,1
Thiago Galhardo,24,1,1
Carlos Dominguez,5,0,0
José Fontán,6,0,0
Augusto Solari,19,0,0
Okay Yokuşlu,8,0,0
Orbelín Pineda,4,0,0
Hugo Álvarez,1,0,0
Gabriel Veiga,2,0,0
Miguel Baeza,1,0,0
Hugo Sotelo,1,0,0
Alfon,0,0,0
Rubén Blanco,0,0,0
Gaizka Camp,0,0,0
Coke Carrillo,0,0,0
Thomas Carrique,0,0,0
Javier Castro,0,0,0
César Fernández,0,0,0
Fernando Medrano,0,0,0
