Player,Matchs,Goals,Assists
Jeremías Ledesma,29,0,0
Alfonso Espino,28,2,2
Anthony Lozano,24,5,2
Álvaro Negredo,26,6,1
Fali,22,0,2
Álex Fernández,24,3,1
Víctor Chust,19,0,0
Varazdat Haroyan,17,1,0
Isaac Carcelen,21,0,0
Salvi,20,2,1
Tomás Alarcón,19,0,1
Jens Jønsson,20,0,1
Rubén Sobrino,24,1,1
Carlos Akapo,17,0,0
Cala,13,0,0
Alberto Perea,17,0,1
Rubén Alcaraz,8,2,0
Fede S,7,0,0
Iván Alejo,13,1,2
Luis Hernández,7,0,0
Santiago Arzamendia,12,1,0
Chapela,9,0,0
Oussama Idrissi,5,1,1
Lucas Pérez,6,0,1
Milutin Osmajić,10,0,0
Álvaro Bastida,6,0,0
Álvaro Jiménez,9,0,0
Florin Andone,5,0,0
Marcos Mau,3,0,0
Martín,6,0,0
José Mari,3,0,0
Pedro Benito,1,0,0
Raúl Parra,1,0,0
Juan Flere,0,0,0
David Gil,0,0,0
Victor Wehbi,0,0,0
