Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games,Value
16,Deportivo Alavés,Pacheco,PT,33,91,1,3,115,3.8,"['1', '11', '8', '1', '-1']",1,11,8,1,-1,4.0,2010000
16,Deportivo Alavés,Sivera,PT,33,6,13,2,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
16,Deportivo Alavés,Owono,PT,30,3,2,1,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
16,Deportivo Alavés,Laguardia,DF,30,91,0,0,117,3.9,"['0', '2', '5', '2', '4']",0,2,5,2,4,2.6,2780000
16,Deportivo Alavés,Rubén Duarte,DF,30,82,0,3,107,3.6,"['2', '1', '5', '3', '-1']",2,1,5,3,-1,2.0,1880000
16,Deportivo Alavés,Lejeune,DF,25,76,0,0,85,3.4,"['2', '5', '6', '4', '-']",2,5,6,4,0,3.4,1600000
16,Deportivo Alavés,Martín Aguirregabiria,DF,28,48,2,0,56,2.8,"['-', '-', '2', '2', '-1']",0,0,2,2,-1,0.6,730000
16,Deportivo Alavés,Miazga,DF,20,27,0,1,42,3.8,"['-', '-', '-', '-', '-2']",0,0,0,0,-2,-0.4,580000
16,Deportivo Alavés,Nahuel Tenaglia,DF,26,27,0,1,38,3.8,"['2', '7', '5', '-', '-']",2,7,5,0,0,2.8,1160000
16,Deportivo Alavés,Ximo Navarro,DF,29,36,1,1,37,2.6,"['0', '-3', '8', '2', '-']",0,-3,8,2,0,1.4,580000
16,Deportivo Alavés,Javi López Carballo,DF,26,12,0,0,11,1.6,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,280000
16,Deportivo Alavés,Saúl García,DF,22,0,1,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000
16,Deportivo Alavés,Alexandru Tirlea,DF,14,0,3,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
16,Deportivo Alavés,Keller,DF,14,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
16,Deportivo Alavés,Luis Rioja,MD,10,97,0,0,105,3.2,"['0', '4', '2', '3', '2']",0,4,2,3,2,2.2,2720000
16,Deportivo Alavés,Mamadou Loum,MD,11,67,0,0,98,3.5,"['3', '2', '2', '4', '-']",3,2,2,4,0,2.2,1550000
16,Deportivo Alavés,Edgar Méndez,MD,21,45,0,1,86,3,"['7', '4', '5', '2', '2']",7,4,5,2,2,4.0,1120000
16,Deportivo Alavés,Toni Moya,MD,19,48,0,1,77,3,"['-', '1', '-', '-', '2']",0,1,0,0,2,0.6,920000
16,Deportivo Alavés,Manu García Alonso,MD,10,24,0,0,73,3.5,"['-', '-', '6', '2', '1']",0,0,6,2,1,1.8,580000
16,Deportivo Alavés,Tomás Pina,MD,21,45,0,0,66,2.5,"['4', '1', '2', '4', '2']",4,1,2,4,2,2.6,780000
16,Deportivo Alavés,Gonzalo Escalante,MD,7,36,0,0,63,4.5,"['9', '5', '4', '4', '0']",9,5,4,4,0,4.4,3100000
16,Deportivo Alavés,Pere Pons,MD,13,45,0,0,47,2.1,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,670000
16,Deportivo Alavés,Facundo Pellistri,MD,10,18,0,0,41,2,"['1', '1', '-', '3', '-']",1,1,0,3,0,1.0,520000
16,Deportivo Alavés,Jason,MD,8,24,1,1,37,2.5,"['-', '-', '2', '-', '2']",0,0,2,0,2,0.8,880000
16,Deportivo Alavés,Joselu,DL,5,94,0,0,222,6.7,"['4', '2', '12', '7', '4']",4,2,12,7,4,5.8,13020000
16,Deportivo Alavés,Manu Vallejo,DL,3,6,0,0,47,2.8,"['2', '1', '-', '-', '-']",2,1,0,0,0,0.6,1240000
16,Deportivo Alavés,Miguel de la Fuente,DL,6,21,0,0,45,2.4,"['2', '-', '2', '2', '2']",2,0,2,2,2,1.6,460000
16,Deportivo Alavés,Guidetti,DL,1,6,0,0,27,2.7,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,440000
