Player,Matchs,Goals,Assists
Unai Simón,34,0,0
Iker Muniain,35,4,10
Iñaki Williams,38,8,5
Unai Venced,34,0,0
Dani García,32,0,0
Iñigo Martínez,27,3,0
Álex Berenguer,34,3,6
Raúl García,35,6,2
Mikel Balenziaga,26,0,0
Daniel Vivian,24,2,1
Iñigo Lekue,25,0,2
Yeray Álvarez,22,0,0
Óscar ,22,1,2
Mikel Vesga,32,2,0
Oihan Sancet,27,6,4
Nico Williams,34,0,0
Yuri Berchiche,14,1,2
Oier Zarraga,31,1,0
Unai Núñez,9,0,0
Julen Agirrezabala,4,0,0
Asier Villalibre,19,2,0
Nicolás Serrano,14,1,0
Alex Petxa,17,0,0
Jon Morcillo,7,0,0
Ander Capa,1,0,0
Peru Nolaskoain,1,0,0
Juan Artola,0,0,0
Luis Bilbao,0,0,0
Jokin Ezkieta,0,0,0
Iru,0,0,0
Aitor Paredes,0,0,0
Jan Oblak,38,0,0
Koke,31,1,2
Marcos Llorente,29,0,2
Yannick Carrasco,34,6,6
Stefan Savić,28,0,0
Rodrigo ,36,3,1
José Mar,24,1,1
Geoffrey Kondogbia,28,1,2
Mario Hermoso,26,2,1
Ángel Correa,36,12,5
Antoine Griezmann,26,3,4
Luis Suárez,35,11,2
Thomas Lemar,24,4,5
Felipe,26,2,1
Reinildo Mandava,17,0,0
João Félix,24,8,4
Renan Lodi,29,2,2
Kieran Trippiere,15,0,0
Šime Vrsaljko,21,1,2
Matheus Cunha,29,6,4
Héctor Herrera,21,0,0
Saúl Ñíguez,3,0,1
Javier Serrano,5,0,0
Daniel Wass,1,0,0
Carlos Martín,1,0,0
Giuliano Simeone,1,0,0
Benjamin Lecomte,0,0,0
Pablo Barrios,0,0,0
Ibrahima Camara,0,0,0
Sergio Camello,0,0,0
Sergio Di,0,0,0
Antonio Gomis,0,0,0
Ivo Grbić,0,0,0
Manu Lama,0,0,0
Alberto More,0,0,0
Marco Moreno,0,0,0
Nehuén Pérez,0,0,0
Joan Rojas,0,0,0
Ivan Šaponjić,0,0,0
